Compund Name,RT_Exp(min),,,,,,,
CUMYL-PeGACLONE,11.58,,,,,,,
CUMYL-PICA,11.03,,,,,,,
CUMYL-PICA N-pentanoic acid metabolite,5.86,,,,,,,
CUMYL-THPINACA,7.4,,,,,,,
EADB-FUBINACA,8.55,,,,,,,
EAM2201,12.04,,,,,,,
EDMB-CHMICA,13.37,,,,,,,
EG2201,13.96,,,,,,,
EG 018,15.14,,,,,,,
EMB-FUBINACA,9.61,,,,,,,
Ethyphenethyl-FUBICA,9.83,,,,,,,
F2201,10.62,,,,,,,
FAB-144,12.93,,,,,,,
FDU-NNEI,8.63,,,,,,,
FUB-JWH-018,10.57,,,,,,,
FUB-NPB-22,7.88,,,,,,,
FUB-PB-22,8.62,,,,,,,
FUB-PB-22 3-carboxyindole metabolite,5.49,,,,,,,
FUBIMINA,10.02,,,,,,,
FUBIMINA N-(5-hydroxypentyl) metabolite,6.86,,,,,,,
HU-210,14.73,,,,,,,
Isobutyl-pentyl-1H-indazole-3-carboxylate,12.47,,,,,,,
JWH-007,13.09,,,,,,,
JWH-015,9.98,,,,,,,
JWH-018,12.57,,,,,,,
JWH 018 N-(5-hydroxypentyl) metabolite,6.76,,,,,,,
JWH 018 N-pentanoic acid metabolite,6.51,,,,,,,
JWH-019,13.67,,,,,,,
JWH 019 N-(5-hydroxyhexyl) metabolite,7.82,,,,,,,
JWH-073,11.03,,,,,,,
JWH 073 N-(3-hydroxybutyl) metabolite,6.48,,,,,,,
JWH 073 N-butanoic acid metabolite,6,,,,,,,
JWH 073 N-(4-hydroxybutyl) metabolite,5.94,,,,,,,
JWH-081,13.21,,,,,,,
JWH-122,13.58,,,,,,,
JWH 122 N-(5-hydroxypentyl) metabolite,8.04,,,,,,,
JWH-203,11.94,,,,,,,
JWH-210,14.17,,,,,,,
JWH 210 N-(4-hydroxypentyl) metabolite,9.32,,,,,,,
JWH-250,10.93,,,,,,,
JWH 250 N-(4-hydroxypentyl) metabolite,5.59,,,,,,,
JWH-307,13.52,,,,,,,
JWH-370,14.23,,,,,,,
JWH-031,11.68,,,,,,,
JWH-071,7.66,,,,,,,
JWH-072,9.16,,,,,,,
JWH-080,11.92,,,,,,,
JWH-098,13.58,,,,,,,
JWH-116,13.89,,,,,,,
JWH-147,14.42,,,,,,,
JWH-175,15.54,,,,,,,
JWH-180,13.19,,,,,,,
JWH-182,14.66,,,,,,,
JWH-193,4.26,,,,,,,
JWH-203 N-pentanoic acid metabolite,6.03,,,,,,,
JWH-213,14.44,,,,,,,
JWH-249,12.28,,,,,,,
JWH-309,14.86,,,,,,,
JWH-369,14.03,,,,,,,
JWH-398,14.21,,,,,,,
JWH-398 N-(4-hydroxypentyl) metabolite,9.48,,,,,,,
JWH_412,13.34,,,,,,,
M-144,13.4,,,,,,,
MA-CHMINACA,12.18,,,,,,,
MAM2201,10.84,,,,,,,
MAM2201 N-(4-hydroxypentyl) metabolite,7.19,,,,,,,
MDMB-3en-BUTINACA,8.67,,,,,,,
MDMB-4en-PINACA butanoic acid metabolite,8.91,,,,,,,
MDMB-4en-PINACA,10.55,,,,,,,
MDMB-BUTINACA,10.24,,,,,,,
MDMB-CHMCZCA,14.31,,,,,,,
MDMB-CHMCZCA metabolite M3,13.38,,,,,,,
MDMB-CHMICA,12.5,,,,,,,
MDMB-CHMICA metabolite M2,11.33,,,,,,,
MDMB-CHMINACA,13.31,,,,,,,
MDMB-FUBICA,8.91,,,,,,,
MDMB-FUBICA metabolite 3,7.66,,,,,,,
MDMB-FUBINACA,9.76,,,,,,,
MMB-FUBICA metabolite 3,6.42,,,,,,,
MMB018,9.26,,,,,,,
MMB022,7.88,,,,,,,
MMB2201,6.51,,,,,,,
MN-18,13.52,,,,,,,
MN-25,6.01,,,,,,,
MO-CHMINACA,13.39,,,,,,,
NAMIE,7.02,,,,,,,
NAPIE,12.73,,,,,,,
NNEI,10.55,,,,,,,
PB-22,10.51,,,,,,,
PB-22 N-(4-hydroxypentyl) metabolite,5.47,,,,,,,
PB-22 N-pentanoic acid metabolite,5.24,,,,,,,
PF-03550096,5.03,,,,,,,
PTI-2(hydrochloride),6.7,,,,,,,
PX1,5.84,,,,,,,
PX2,5.98,,,,,,,
RCS-4,10.69,,,,,,,
RCS-4N-(4-hydroxypentyl)metabolite,5.32,,,,,,,
RCS-8,13.82,,,,,,,
SDB-005,13.69,,,,,,,
STS-135,12.12,,,,,,,
THJ2201,10.82,,,,,,,
UR-144,13.58,,,,,,,
UR-144 N-(4-hydroxypentyl) metabolite,8.33,,,,,,,
UR-144 N-pentanoic acid metabolite,7.99,,,,,,,
XLR11 N-(4-hydroxypentyl) metabolite,7.54,,,,,,,
